turn_number,phase,strategy,node_id,node_label,signal_name,signal_value,signal_weight,weighted_contribution,phase_multiplier,phase_bonus,base_score,final_score,rank,selected,gated,gate_signal
1,early,ascend,7ab35cff-2575-47b5-b269-26f07037cd88,zero sugar formulation,(gated),,,0,1.0,0.0,0.0,0.0,8,False,True,convgraph.node.chain.gap.above
1,early,ascend,2038f8e0-f982-4daf-bd29-d854c36a3e1a,avoiding energy crash after consumption,(gated),,,0,1.0,0.0,0.0,0.0,8,False,True,convgraph.node.chain.gap.above
1,early,ascend,158b1eca-60a3-459a-a0bc-7b9ae5a62b66,acceptable taste despite no sugar,(gated),,,0,1.0,0.0,0.0,0.0,8,False,True,convgraph.node.chain.gap.above
1,early,ascend,64c61bc5-6673-46d4-a032-3ae6fa48ba5c,deliberate beverage choice-making,convgraph.node.chain.gap.above.true,True,0.25,0.25,1.0,0.0,0.516,0.516,5,False,False,
1,early,ascend,64c61bc5-6673-46d4-a032-3ae6fa48ba5c,deliberate beverage choice-making,convgraph.node.chain.fan_in,2,0.033,0.066,1.0,0.0,0.516,0.516,5,False,False,
1,early,ascend,64c61bc5-6673-46d4-a032-3ae6fa48ba5c,deliberate beverage choice-making,convgraph.node.recency,0.0,0.15,0.0,1.0,0.0,0.516,0.516,5,False,False,
1,early,ascend,64c61bc5-6673-46d4-a032-3ae6fa48ba5c,deliberate beverage choice-making,convgraph.node.exhaustion,0.0,-0.8,-0.0,1.0,0.0,0.516,0.516,5,False,False,
1,early,ascend,64c61bc5-6673-46d4-a032-3ae6fa48ba5c,deliberate beverage choice-making,convgraph.node.focus.count.high,False,-0.8,0.0,1.0,0.0,0.516,0.516,5,False,False,
1,early,ascend,64c61bc5-6673-46d4-a032-3ae6fa48ba5c,deliberate beverage choice-making,convgraph.node.focus.count.medium,False,-0.4,0.0,1.0,0.0,0.516,0.516,5,False,False,
1,early,ascend,64c61bc5-6673-46d4-a032-3ae6fa48ba5c,deliberate beverage choice-making,response.semantic.llm.engagement.low,False,-0.3,0.0,1.0,0.0,0.516,0.516,5,False,False,
