turn_number,phase,strategy,node_id,node_label,signal_name,signal_value,signal_weight,weighted_contribution,phase_multiplier,phase_bonus,base_score,final_score,rank,selected,gated,gate_signal
1,mid,surface_tension,70d731bb-532b-47b2-8fe9-a36144ecd0b7,eating in the afternoon without strong hunger cues,convgraph.node.yield_stagnation.true,False,0.25,0.0,1.0,0.0,0.15,0.15,25,False,False,
1,mid,surface_tension,70d731bb-532b-47b2-8fe9-a36144ecd0b7,eating in the afternoon without strong hunger cues,convgraph.node.focus.count.medium,False,0.1,0.0,1.0,0.0,0.15,0.15,25,False,False,
1,mid,surface_tension,70d731bb-532b-47b2-8fe9-a36144ecd0b7,eating in the afternoon without strong hunger cues,convgraph.node.llm.charge.negative,False,0.25,0.0,1.0,0.0,0.15,0.15,25,False,False,
1,mid,surface_tension,70d731bb-532b-47b2-8fe9-a36144ecd0b7,eating in the afternoon without strong hunger cues,convgraph.node.novelty.high,True,0.25,0.25,1.0,0.0,0.15,0.15,25,False,False,
1,mid,surface_tension,70d731bb-532b-47b2-8fe9-a36144ecd0b7,eating in the afternoon without strong hunger cues,convgraph.node.recency,0.0,0.15,0.0,1.0,0.0,0.15,0.15,25,False,False,
1,mid,surface_tension,70d731bb-532b-47b2-8fe9-a36144ecd0b7,eating in the afternoon without strong hunger cues,response.semantic.llm.certainty.low,False,0.4,0.0,1.0,0.0,0.15,0.15,25,False,False,
1,mid,surface_tension,70d731bb-532b-47b2-8fe9-a36144ecd0b7,eating in the afternoon without strong hunger cues,response.semantic.llm.certainty.mid,True,0.2,0.2,1.0,0.0,0.15,0.15,25,False,False,
1,mid,surface_tension,70d731bb-532b-47b2-8fe9-a36144ecd0b7,eating in the afternoon without strong hunger cues,interview.strategy.self_count,0.0,-1.0,-0.0,1.0,0.0,0.15,0.15,25,False,False,
1,mid,surface_tension,70d731bb-532b-47b2-8fe9-a36144ecd0b7,eating in the afternoon without strong hunger cues,meta.saturation.canonical.high,True,-0.3,-0.3,1.0,0.0,0.15,0.15,25,False,False,
1,mid,surface_tension,7db22fcb-b3af-4d7c-ac7d-ff32c617aa67,low appetite signaling it's time to eat,convgraph.node.yield_stagnation.true,False,0.25,0.0,1.0,0.0,0.15,0.15,26,False,False,
1,mid,surface_tension,7db22fcb-b3af-4d7c-ac7d-ff32c617aa67,low appetite signaling it's time to eat,convgraph.node.focus.count.medium,False,0.1,0.0,1.0,0.0,0.15,0.15,26,False,False,
1,mid,surface_tension,7db22fcb-b3af-4d7c-ac7d-ff32c617aa67,low appetite signaling it's time to eat,convgraph.node.llm.charge.negative,False,0.25,0.0,1.0,0.0,0.15,0.15,26,False,False,
1,mid,surface_tension,7db22fcb-b3af-4d7c-ac7d-ff32c617aa67,low appetite signaling it's time to eat,convgraph.node.novelty.high,True,0.25,0.25,1.0,0.0,0.15,0.15,26,False,False,
1,mid,surface_tension,7db22fcb-b3af-4d7c-ac7d-ff32c617aa67,low appetite signaling it's time to eat,convgraph.node.recency,0.0,0.15,0.0,1.0,0.0,0.15,0.15,26,False,False,
1,mid,surface_tension,7db22fcb-b3af-4d7c-ac7d-ff32c617aa67,low appetite signaling it's time to eat,response.semantic.llm.certainty.low,False,0.4,0.0,1.0,0.0,0.15,0.15,26,False,False,
1,mid,surface_tension,7db22fcb-b3af-4d7c-ac7d-ff32c617aa67,low appetite signaling it's time to eat,response.semantic.llm.certainty.mid,True,0.2,0.2,1.0,0.0,0.15,0.15,26,False,False,
1,mid,surface_tension,7db22fcb-b3af-4d7c-ac7d-ff32c617aa67,low appetite signaling it's time to eat,interview.strategy.self_count,0.0,-1.0,-0.0,1.0,0.0,0.15,0.15,26,False,False,
1,mid,surface_tension,7db22fcb-b3af-4d7c-ac7d-ff32c617aa67,low appetite signaling it's time to eat,meta.saturation.canonical.high,True,-0.3,-0.3,1.0,0.0,0.15,0.15,26,False,False,
1,mid,surface_tension,e5cf2db2-b33e-4ab0-92b2-67849f911a5c,stop eating when satisfied without overthinking it,convgraph.node.yield_stagnation.true,False,0.25,0.0,1.0,0.0,0.15,0.15,27,False,False,
1,mid,surface_tension,e5cf2db2-b33e-4ab0-92b2-67849f911a5c,stop eating when satisfied without overthinking it,convgraph.node.focus.count.medium,False,0.1,0.0,1.0,0.0,0.15,0.15,27,False,False,
1,mid,surface_tension,e5cf2db2-b33e-4ab0-92b2-67849f911a5c,stop eating when satisfied without overthinking it,convgraph.node.llm.charge.negative,False,0.25,0.0,1.0,0.0,0.15,0.15,27,False,False,
1,mid,surface_tension,e5cf2db2-b33e-4ab0-92b2-67849f911a5c,stop eating when satisfied without overthinking it,convgraph.node.novelty.high,True,0.25,0.25,1.0,0.0,0.15,0.15,27,False,False,
1,mid,surface_tension,e5cf2db2-b33e-4ab0-92b2-67849f911a5c,stop eating when satisfied without overthinking it,convgraph.node.recency,0.0,0.15,0.0,1.0,0.0,0.15,0.15,27,False,False,
1,mid,surface_tension,e5cf2db2-b33e-4ab0-92b2-67849f911a5c,stop eating when satisfied without overthinking it,response.semantic.llm.certainty.low,False,0.4,0.0,1.0,0.0,0.15,0.15,27,False,False,
1,mid,surface_tension,e5cf2db2-b33e-4ab0-92b2-67849f911a5c,stop eating when satisfied without overthinking it,response.semantic.llm.certainty.mid,True,0.2,0.2,1.0,0.0,0.15,0.15,27,False,False,
1,mid,surface_tension,e5cf2db2-b33e-4ab0-92b2-67849f911a5c,stop eating when satisfied without overthinking it,interview.strategy.self_count,0.0,-1.0,-0.0,1.0,0.0,0.15,0.15,27,False,False,
1,mid,surface_tension,e5cf2db2-b33e-4ab0-92b2-67849f911a5c,stop eating when satisfied without overthinking it,meta.saturation.canonical.high,True,-0.3,-0.3,1.0,0.0,0.15,0.15,27,False,False,
1,mid,surface_tension,9ea4d438-df34-4d6c-9aea-65ab41b1fab6,feeling compelled to eat more than needed due to social or internalized 'should' norms,convgraph.node.yield_stagnation.true,False,0.25,0.0,1.0,0.0,0.15,0.15,28,False,False,
1,mid,surface_tension,9ea4d438-df34-4d6c-9aea-65ab41b1fab6,feeling compelled to eat more than needed due to social or internalized 'should' norms,convgraph.node.focus.count.medium,False,0.1,0.0,1.0,0.0,0.15,0.15,28,False,False,
1,mid,surface_tension,9ea4d438-df34-4d6c-9aea-65ab41b1fab6,feeling compelled to eat more than needed due to social or internalized 'should' norms,convgraph.node.llm.charge.negative,False,0.25,0.0,1.0,0.0,0.15,0.15,28,False,False,
1,mid,surface_tension,9ea4d438-df34-4d6c-9aea-65ab41b1fab6,feeling compelled to eat more than needed due to social or internalized 'should' norms,convgraph.node.novelty.high,True,0.25,0.25,1.0,0.0,0.15,0.15,28,False,False,
